WebUrl,ListTitle,ListDescription,ListTemplateId,DefaultContentTypeName,IndexedColumns,OnQuickLaunch,EnableVersioning
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw18066,DCTM moc_mw18066 documents,101,DCTM moc_mw18066,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw44041prt,DCTM moc_mw44041prt documents,101,DCTM moc_mw44041prt,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw44419chg,DCTM moc_mw44419chg documents,101,DCTM moc_mw44419chg,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw44419new,DCTM moc_mw44419new documents,101,DCTM moc_mw44419new,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw44419rat,DCTM moc_mw44419rat documents,101,DCTM moc_mw44419rat,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw44419sep,DCTM moc_mw44419sep documents,101,DCTM moc_mw44419sep,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw44419trf,DCTM moc_mw44419trf documents,101,DCTM moc_mw44419trf,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw55004,DCTM moc_mw55004 documents,101,DCTM moc_mw55004,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_ogchecks,DCTM moc_ogchecks documents,101,DCTM moc_ogchecks,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_oldafes,DCTM moc_oldafes documents,101,DCTM moc_oldafes,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p11015p,DCTM moc_p11015p documents,101,DCTM moc_p11015p,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p11022,DCTM moc_p11022 documents,101,DCTM moc_p11022,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p12031,DCTM moc_p12031 documents,101,DCTM moc_p12031,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p12082a,DCTM moc_p12082a documents,101,DCTM moc_p12082a,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p12082b,DCTM moc_p12082b documents,101,DCTM moc_p12082b,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13025,DCTM moc_p13025 documents,101,DCTM moc_p13025,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13031,DCTM moc_p13031 documents,101,DCTM moc_p13031,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13033a,DCTM moc_p13033a documents,101,DCTM moc_p13033a,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13033b,DCTM moc_p13033b documents,101,DCTM moc_p13033b,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13033c,DCTM moc_p13033c documents,101,DCTM moc_p13033c,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13038,DCTM moc_p13038 documents,101,DCTM moc_p13038,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13039,DCTM moc_p13039 documents,101,DCTM moc_p13039,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p14068wal,DCTM moc_p14068wal documents,101,DCTM moc_p14068wal,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15029b,DCTM moc_p15029b documents,101,DCTM moc_p15029b,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15029p,DCTM moc_p15029p documents,101,DCTM moc_p15029p,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15029p2,DCTM moc_p15029p2 documents,101,DCTM moc_p15029p2,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15063s,DCTM moc_p15063s documents,101,DCTM moc_p15063s,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15065,DCTM moc_p15065 documents,101,DCTM moc_p15065,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15066,DCTM moc_p15066 documents,101,DCTM moc_p15066,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068a,DCTM moc_p15068a documents,101,DCTM moc_p15068a,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068b,DCTM moc_p15068b documents,101,DCTM moc_p15068b,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068c,DCTM moc_p15068c documents,101,DCTM moc_p15068c,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068d,DCTM moc_p15068d documents,101,DCTM moc_p15068d,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068e,DCTM moc_p15068e documents,101,DCTM moc_p15068e,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068g,DCTM moc_p15068g documents,101,DCTM moc_p15068g,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068k,DCTM moc_p15068k documents,101,DCTM moc_p15068k,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068rsal,DCTM moc_p15068rsal documents,101,DCTM moc_p15068rsal,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068wal,DCTM moc_p15068wal documents,101,DCTM moc_p15068wal,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15069,DCTM moc_p15069 documents,101,DCTM moc_p15069,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15091,DCTM moc_p15091 documents,101,DCTM moc_p15091,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15093,DCTM moc_p15093 documents,101,DCTM moc_p15093,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15093e,DCTM moc_p15093e documents,101,DCTM moc_p15093e,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15093s,DCTM moc_p15093s documents,101,DCTM moc_p15093s,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date,FALSE,TRUE
