WebUrl,ContentTypeName_original,ContentTypeName,ContentTypeParent,Description,Group,IncludedSiteColumns
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068g_s,DCTM moc_p15068g,DCTM Legacy Document,Documentum Legacy moc_p15068g_s document,DCTM Legacy, DCTM Store Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068k_s,DCTM moc_p15068k,DCTM Legacy Document,Documentum Legacy moc_p15068k_s document,DCTM Legacy, DCTM Store Number; DCTM District; DCTM spldat
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068rsal_s,DCTM moc_p15068rsal,DCTM Legacy Document,Documentum Legacy moc_p15068rsal_s document,DCTM Legacy, DCTM Region
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068wal_s,DCTM moc_p15068wal,DCTM Legacy Document,Documentum Legacy moc_p15068wal_s document,DCTM Legacy, DCTM Region
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15069_s,DCTM moc_p15069,DCTM Legacy Document,Documentum Legacy moc_p15069_s document,DCTM Legacy, DCTM Store Number
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15091_s,DCTM moc_p15091,DCTM Legacy Document,Documentum Legacy moc_p15091_s document,DCTM Legacy, DCTM Date Run
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15093_s,DCTM moc_p15093,DCTM Legacy Document,Documentum Legacy moc_p15093_s document,DCTM Legacy, DCTM Date Run
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15093e_s,DCTM moc_p15093e,DCTM Legacy Document,Documentum Legacy moc_p15093e_s document,DCTM Legacy, DCTM Date Run
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15093s_s,DCTM moc_p15093s,DCTM Legacy Document,Documentum Legacy moc_p15093s_s document,DCTM Legacy, DCTM Date Run
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15095_s,DCTM moc_p15095,DCTM Legacy Document,Documentum Legacy moc_p15095_s document,DCTM Legacy, DCTM Date Run
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15096_s,DCTM moc_p15096,DCTM Legacy Document,Documentum Legacy moc_p15096_s document,DCTM Legacy, DCTM Date Run
